miles,dollars,gallons,date,gal_cost,mpg,tank%_used,weekday,days_since_last_fillup,dollars per mile
253.2,21.37,11.138,2019-01-15,1.92,22.73,0.822,Tuesday,,0.0844
211.9,22.24,11.239,2019-01-26,1.98,18.85,0.8294,Saturday,11.0,0.105
258.1,22.7,11.708,2019-02-02,1.94,22.04,0.8641,Saturday,7.0,0.088
223.0,22.24,11.713,2019-02-15,1.9,19.04,0.8644,Friday,13.0,0.0997
229.7,23.41,11.369,2019-02-23,2.06,20.2,0.839,Saturday,8.0,0.1019
257.5,22.36,11.298,2019-02-25,1.98,22.79,0.8338,Monday,2.0,0.0868
214.4,27.54,11.978,2019-03-14,2.3,17.9,0.884,Thursday,17.0,0.1285
248.8,25.67,10.792,2019-03-17,2.38,23.05,0.7965,Sunday,3.0,0.1032
257.7,26.51,10.731,2019-03-22,2.47,24.01,0.792,Friday,5.0,0.1029
237.8,23.55,9.423,2019-03-23,2.5,25.24,0.6954,Saturday,1.0,0.099
253.9,27.11,11.539,2019-03-25,2.35,22.0,0.8516,Monday,2.0,0.1068
227.9,28.42,11.559,2019-04-18,2.46,19.72,0.8531,Thursday,24.0,0.1247
234.7,27.67,11.534,2019-04-21,2.4,20.35,0.8512,Sunday,3.0,0.1179
241.3,29.43,11.323,2019-05-04,2.6,21.31,0.8356,Saturday,13.0,0.122
251.3,30.25,11.42,2019-05-06,2.65,22.01,0.8428,Monday,2.0,0.1204
251.0,29.91,11.081,2019-05-10,2.7,22.65,0.8178,Friday,4.0,0.1192
256.2,25.91,11.371,2019-05-11,2.28,22.53,0.8392,Saturday,1.0,0.1011
269.0,30.15,11.467,2019-05-20,2.63,23.46,0.8463,Monday,9.0,0.1121
268.6,28.74,11.594,2019-06-02,2.48,23.17,0.8556,Sunday,13.0,0.107
264.3,27.11,11.299,2019-06-11,2.4,23.39,0.8339,Tuesday,9.0,0.1026
261.0,25.61,11.543,2019-06-21,2.22,22.61,0.8519,Friday,10.0,0.0981
238.3,28.68,11.478,2019-06-29,2.5,20.76,0.8471,Saturday,8.0,0.1204
229.4,26.73,10.696,2019-07-10,2.5,21.45,0.7894,Wednesday,11.0,0.1165
238.6,28.98,11.595,2019-07-19,2.5,20.58,0.8557,Friday,9.0,0.1215
237.2,28.28,11.317,2019-07-30,2.5,20.96,0.8352,Tuesday,11.0,0.1192
241.7,28.27,11.312,2019-08-06,2.5,21.37,0.8348,Tuesday,7.0,0.117
277.2,28.49,11.876,2019-08-09,2.4,23.34,0.8765,Friday,3.0,0.1028
246.9,28.03,11.685,2019-08-21,2.4,21.13,0.8624,Wednesday,12.0,0.1135
241.2,26.88,11.59,2019-08-30,2.32,20.81,0.8554,Friday,9.0,0.1114
197.1,25.65,10.694,2019-09-15,2.4,18.43,0.7892,Sunday,16.0,0.1301
200.0,25.68,10.703,2019-09-29,2.4,18.69,0.7899,Sunday,14.0,0.1284
225.6,27.65,11.526,2019-10-09,2.4,19.57,0.8506,Wednesday,10.0,0.1226
276.8,29.21,12.489,2019-10-13,2.34,22.16,0.9217,Sunday,4.0,0.1055
276.8,25.83,11.483,2019-10-23,2.25,24.11,0.8475,Wednesday,10.0,0.0933
259.5,26.11,11.357,2019-10-28,2.3,22.85,0.8382,Monday,5.0,0.1006
277.1,24.77,11.265,2019-11-03,2.2,24.6,0.8314,Sunday,6.0,0.0894
247.1,24.43,11.111,2019-11-14,2.2,22.24,0.82,Thursday,11.0,0.0989
234.5,24.6,11.718,2019-11-27,2.1,20.01,0.8648,Wednesday,13.0,0.1049
281.4,24.35,10.876,2019-12-01,2.24,25.87,0.8027,Sunday,4.0,0.0865
208.4,26.14,11.368,2019-12-18,2.3,18.33,0.839,Wednesday,17.0,0.1254
264.0,25.58,11.127,2019-12-26,2.3,23.73,0.8212,Thursday,8.0,0.0969
276.3,26.41,12.291,2020-01-02,2.15,22.48,0.9071,Thursday,7.0,0.0956
254.2,27.39,11.914,2020-01-24,2.3,21.34,0.8793,Friday,22.0,0.1077
232.1,23.94,11.742,2020-02-07,2.04,19.77,0.8666,Friday,14.0,0.1031
228.8,24.49,11.666,2020-02-22,2.1,19.61,0.861,Saturday,15.0,0.107
249.4,21.04,12.398,2020-03-30,1.7,20.12,0.915,Monday,37.0,0.0844
290.4,19.92,11.071,2020-03-31,1.8,26.23,0.817,Tuesday,1.0,0.0686
255.6,18.57,11.99,2020-04-12,1.55,21.32,0.8849,Sunday,12.0,0.0727
288.4,17.28,12.006,2020-04-28,1.44,24.02,0.8861,Tuesday,16.0,0.0599
250.5,17.66,11.403,2020-05-08,1.55,21.97,0.8415,Friday,10.0,0.0705
273.6,18.41,11.511,2020-05-20,1.6,23.77,0.8495,Wednesday,12.0,0.0673
264.3,17.42,10.895,2020-05-23,1.6,24.26,0.8041,Saturday,3.0,0.0659
231.4,20.65,11.48,2020-06-19,1.8,20.16,0.8472,Friday,27.0,0.0892
289.9,21.23,11.179,2020-06-21,1.9,25.93,0.825,Sunday,2.0,0.0732
267.9,22.38,11.91,2020-07-07,1.88,22.49,0.879,Tuesday,16.0,0.0835
294.7,23.21,11.496,2020-07-08,2.02,25.64,0.8484,Wednesday,1.0,0.0788
