,miles,gallons,dollars,date,gal_cost,mpg,tank%_used,day,days_since_last_fillup,id,vehicle
0,65.5,1.04,2.76,2018-04-19,2.6538461538461537,62.980769230769226,0.7591240875912408,Thursday,,m-19-Apr-2018-0,Moped
1,66.0,1.03,2.77,2018-05-03,2.6893203883495147,64.07766990291262,0.7518248175182481,Thursday,14.0,m-03-May-2018-1,Moped
2,61.2,0.89,2.52,2018-05-16,2.831460674157303,68.76404494382022,0.6496350364963503,Wednesday,13.0,m-16-May-2018-2,Moped
3,63.0,0.94,2.39,2018-06-28,2.542553191489362,67.02127659574468,0.6861313868613138,Thursday,43.0,m-28-Jun-2018-3,Moped
4,69.4,0.98,2.71,2018-07-25,2.7653061224489797,70.81632653061226,0.7153284671532846,Wednesday,27.0,m-25-Jul-2018-4,Moped
5,75.3,0.99,2.88,2018-08-12,2.909090909090909,76.06060606060606,0.7226277372262773,Sunday,18.0,m-12-Aug-2018-5,Moped
6,85.5,1.02,2.8,2018-08-27,2.745098039215686,83.82352941176471,0.7445255474452555,Monday,15.0,m-27-Aug-2018-6,Moped
7,83.0,1.18,3.07,2018-09-11,2.6016949152542375,70.33898305084746,0.8613138686131385,Tuesday,15.0,m-11-Sep-2018-7,Moped
8,80.2,1.06,2.94,2018-09-21,2.773584905660377,75.66037735849056,0.7737226277372262,Friday,10.0,m-21-Sep-2018-8,Moped
9,81.2,1.09,3.08,2018-10-03,2.8256880733944953,74.4954128440367,0.7956204379562044,Wednesday,12.0,m-03-Oct-2018-9,Moped
10,78.5,1.12,3.03,2018-10-18,2.7053571428571423,70.08928571428571,0.8175182481751825,Thursday,15.0,m-18-Oct-2018-10,Moped
11,71.5,1.07,2.77,2018-10-30,2.588785046728972,66.82242990654206,0.7810218978102189,Tuesday,12.0,m-30-Oct-2018-11,Moped
12,81.5,1.12,2.94,2018-11-12,2.6249999999999996,72.76785714285714,0.8175182481751825,Monday,13.0,m-12-Nov-2018-12,Moped
13,75.3,1.08,2.7,2018-12-03,2.5,69.72222222222221,0.7883211678832117,Monday,21.0,m-03-Dec-2018-13,Moped
14,70.8,1.054,2.11,2019-01-23,2.0018975332068307,67.17267552182163,0.7693430656934306,Wednesday,51.0,m-23-Jan-2019-14,Moped
15,72.0,1.138,2.46,2019-02-26,2.161687170474517,63.26889279437611,0.8306569343065692,Tuesday,34.0,m-26-Feb-2019-15,Moped
16,67.3,1.032,2.42,2019-03-26,2.3449612403100772,65.21317829457364,0.7532846715328467,Tuesday,28.0,m-26-Mar-2019-16,Moped
