miles,dollars,gallons,date
253.2,21.37,11.138,1/15/19
211.9,22.24,11.239,1/26/19
258.1,22.7,11.708,2/2/19
223,22.24,11.713,2/15/19
229.7,23.41,11.369,2/23/19
257.5,22.36,11.298,2/25/19
214.4,27.54,11.978,3/14/19
248.8,25.67,10.792,3/17/19
257.7,26.51,10.731,3/22/19
237.8,23.55,9.423,3/23/19
253.9,27.11,11.539,3/25/19
227.9,28.42,11.559,4/18/19
234.7,27.67,11.534,4/21/19
241.3,29.43,11.323,5/4/19
251.3,30.25,11.42,5/6/19
251,29.91,11.081,5/10/19
256.2,25.91,11.371,5/11/19
269,30.15,11.467,5/20/19
268.6,28.74,11.594,6/2/19
264.3,27.11,11.299,6/11/19
261,25.61,11.543,6/21/19
238.3,28.68,11.478,6/29/19
229.4,26.73,10.696,7/10/19
238.6,28.98,11.595,7/19/19
237.2,28.28,11.317,7/30/19
241.7,28.27,11.312,8/6/19
277.2,28.49,11.876,8/9/19
246.9,28.03,11.685,8/21/19
241.2,26.88,11.59,8/30/19
197.1,25.65,10.694,9/15/19
200,25.68,10.703,9/29/19
225.6,27.65,11.526,10/9/19
276.8,29.21,12.489,10/13/19
276.8,25.83,11.483,10/23/19
259.5,26.11,11.357,10/28/19
277.1,24.77,11.265,11/3/19
247.1,24.43,11.111,11/14/19
234.5,24.6,11.718,11/27/19
281.4,24.35,10.876,12/1/19
208.4,26.14,11.368,12/18/19
264,25.58,11.127,12/26/19
276.3,26.41,12.291,1/2/20
254.2,27.39,11.914,1/24/20
232.1,23.94,11.742,2/7/20
228.8,24.49,11.666,2/22/20
249.4,21.04,12.398,3/30/20
290.4,19.92,11.071,3/31/20
255.6,18.57,11.99,4/12/20
288.4,17.28,12.006,4/28/20
250.5,17.66,11.403,5/8/20
273.6,18.41,11.511,5/20/20
264.3,17.42,10.895,5/23/20
231.4,20.65,11.48,6/19/20
289.9,21.23,11.179,6/21/20
267.9,22.38,11.91,7/7/20
294.7,23.21,11.496,7/8/20
229.8,21.42,11.904,7/26/20
287.7,22.81,11.765,7/31/20
279.7,23.18,11.594,8/7/20
222.4,20.96,11.65,8/27/20
319.1,20.96,10.487,8/28/20
227.7,20.09,11.424,9/7/20
213.5,21.2,11.406,10/3/20
271.7,20.61,11.089,10/18/20
287.1,22.34,11.405,10/20/20
220,20.14,11.132,11/2/20
246.7,18.6,11.633,11/25/20
305.8,17.61,11.444,11/29/20
207.1,20.66,10.879,12/22/20
210.5,23.76,11.427,1/11/21
245.1,25.09,10.914,1/18/21
201.2,23.18,11.043,2/11/21
272.8,27.14,11.804,2/26/21
305.4,27.09,11.534,2/28/21
234.2,31.04,11.293,3/20/21
259,28.03,10.783,3/23/21
203.4,29.06,11.355,4/19/21
268.8,29.62,11.397,4/25/21
265.8,28.07,11.325,5/3/21
232.8,28.56,10.781,5/22/21
262.6,29.61,11.482,5/29/21
268.7,30.71,11.551,6/5/21
213.7,32.01,11.601,6/30/21
266.8,31.68,11.118,7/16/21
251.7,30.16,10.814,7/19/21
260.1,33.14,11.43,7/31/21
261.8,33.99,11.726,8/14/21
251.3,33.53,11.567,8/30/21
237.9,33.03,11.973,9/18/21
243.5,35.95,11.237,10/21/21
245.3,37.19,11.627,11/3/21
